player,team,position,age,birth_year,nationality,games,games_starts,minutes,minutes_90s,goals,goals_pens,assists,goals_assists,pens_made,pens_att,cards_yellow,cards_red,transfer_value,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
Paquetá Lucas,West Ham United,"MF,FW",26,1997,br BRA,33,27,2380,26.4,4,2,0,4,2,2,10,0,N/a,0.15,0.00,0.15,0.08,0.08,Matches
Pope Nick,Newcastle United,GK,32,1992,eng ENG,28,28,2520,28.0,0,0,0,0,0,0,2,0,17380000,0.00,0.00,0.00,0.00,0.00,Matches
Rodríguez Guido,West Ham United,MF,30,1994,ar ARG,23,16,1149,12.8,0,0,1,1,0,0,6,0,N/a,0.00,0.08,0.08,0.00,0.08,Matches
Scarles Oliver,West Ham United,"MF,DF",18,2005,eng ENG,15,7,665,7.4,0,0,0,0,0,0,1,0,13215497,0.00,0.00,0.00,0.00,0.00,Matches
Schär Fabian,Newcastle United,DF,32,1991,ch SUI,34,33,2934,32.6,4,4,0,4,0,0,9,1,10954532,0.12,0.00,0.12,0.12,0.12,Matches
Soler Carlos,West Ham United,MF,27,1997,es ESP,31,14,1409,15.7,1,1,1,2,0,0,6,0,N/a,0.06,0.06,0.13,0.06,0.13,Matches
Souček Tomáš,West Ham United,MF,29,1995,cz CZE,35,30,2567,28.5,9,9,1,10,0,0,8,0,28032411,0.32,0.04,0.35,0.32,0.35,Matches
Summerville Crysencio,West Ham United,"MF,FW",22,2001,nl NED,19,7,786,8.7,1,1,1,2,0,0,2,0,27070000,0.11,0.11,0.23,0.11,0.23,Matches
Todibo Jean-Clair,West Ham United,DF,24,1999,fr FRA,27,20,1825,20.3,0,0,0,0,0,0,3,0,48426161,0.00,0.00,0.00,0.00,0.00,Matches
Tonali Sandro,Newcastle United,MF,24,2000,it ITA,36,28,2630,29.2,4,4,2,6,0,0,5,0,65581810,0.14,0.07,0.21,0.14,0.21,Matches
Trippier Kieran,Newcastle United,DF,33,1990,eng ENG,25,14,1309,14.5,0,0,3,3,0,0,1,0,13230000,0.00,0.21,0.21,0.00,0.21,Matches
Wan-Bissaka Aaron,West Ham United,"DF,MF",26,1997,cd COD,36,35,3154,35.0,2,2,5,7,0,0,1,0,29715043,0.06,0.14,0.20,0.06,0.20,Matches
Ward-Prowse James,West Ham United,MF,29,1994,eng ENG,15,12,1039,11.5,1,1,1,2,0,0,2,0,N/a,0.09,0.09,0.17,0.09,0.17,Matches
Willock Joe,Newcastle United,MF,24,1999,eng ENG,32,11,1086,12.1,0,0,2,2,0,0,4,0,37266024,0.00,0.17,0.17,0.00,0.17,Matches
Wilson Callum,Newcastle United,FW,32,1992,eng ENG,18,2,370,4.1,0,0,0,0,0,0,1,0,7400000,0.00,0.00,0.00,0.00,0.00,Matches
